Year,Quarter,Month,Day,SalesVolume,RegionName,Area,AreaCode,IndexSA,AveragePriceSA
1995,Qtr 2,April,1,2359,Greater Manchester,Northwest,E11000001,,
1995,Qtr 2,May,1,2686,Greater Manchester,Northwest,E11000001,,
1995,Qtr 2,June,1,3323,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,April,1,2701,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,May,1,3145,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,June,1,3227,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,April,1,3116,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,May,1,3773,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,June,1,3799,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,April,1,3302,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,May,1,3503,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,June,1,3736,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,April,1,3673,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,May,1,3758,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,June,1,4035,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,April,1,3799,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,May,1,4086,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,June,1,4596,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,April,1,3908,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,May,1,4274,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,June,1,4739,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,April,1,4452,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,May,1,6250,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,June,1,4736,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,April,1,4495,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,May,1,5146,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,June,1,4838,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,April,1,6040,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,May,1,5154,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,June,1,6054,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,April,1,4105,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,May,1,3980,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,June,1,4622,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,April,1,4442,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,May,1,4978,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,June,1,6054,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,April,1,4647,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,May,1,5085,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,June,1,6117,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,April,1,3148,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,May,1,2976,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,June,1,2632,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,April,1,1561,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,May,1,1797,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,June,1,2168,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,April,1,2107,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,May,1,2123,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,June,1,2350,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,April,1,2120,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,May,1,2009,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,June,1,2217,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,April,1,1778,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,May,1,1920,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,June,1,2193,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,April,1,2151,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,May,1,2697,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,June,1,2648,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,April,1,3188,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,May,1,3504,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,June,1,3484,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,April,1,2956,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,May,1,3497,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,June,1,3728,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,April,1,2221,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,May,1,2346,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,June,1,2726,Greater Manchester,Northwest,E11000001,,
